Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,PnL %
2025-01-09 23:49:00,94188.74,2025-01-10 01:35:00,93484.64,SL,-0.007475415851194164
2025-01-10 23:40:00,94226.22,2025-01-11 00:01:00,93506.04,SL,-0.007643095520546272
2025-01-13 22:43:00,91331.17,2025-01-13 23:08:00,92347.48,TP,0.011127745325062601
2025-01-14 05:01:00,93849.0,2025-01-14 08:01:00,94467.23,TIME,0.006587496936568273
2025-01-15 21:33:00,98586.6,2025-01-15 23:00:00,99674.39,TP,0.011033852470822541
2025-01-17 00:01:00,99391.47,2025-01-17 03:01:00,99435.99,TIME,0.00044792576264345496
2025-01-17 10:17:00,102105.49,2025-01-17 10:46:00,101310.0,SL,-0.007790864134729731
2025-01-20 06:58:00,103253.68,2025-01-20 07:01:00,102223.01,SL,-0.009981920256982591
2025-01-20 14:43:00,104392.56,2025-01-20 14:47:00,105522.22,TP,0.010821269255203662
2025-01-21 00:38:00,106064.23,2025-01-21 01:04:00,104468.72,SL,-0.01504286600675831
2025-01-21 10:11:00,102323.99,2025-01-21 13:11:00,102137.93,TIME,-0.0018183419157131403
2025-01-22 00:09:00,105091.99,2025-01-22 00:15:00,106179.48,TP,0.010347981801467367
2025-01-23 22:34:00,104087.95,2025-01-23 22:45:00,105361.73,TP,0.012237535660948255
2025-01-24 04:12:00,105434.0,2025-01-24 04:17:00,104228.01,SL,-0.011438340573249665
2025-01-27 21:08:00,101077.41,2025-01-27 21:51:00,100308.83,SL,-0.00760387508939932
2025-01-28 04:54:00,101455.97,2025-01-28 07:54:00,101972.41,TIME,0.005090286949107108
2025-01-30 03:40:00,103781.82,2025-01-30 04:03:00,102900.0,SL,-0.008496863901596706
2025-02-03 10:10:00,93177.17,2025-02-03 10:16:00,94360.0,TP,0.012694418600607871
2025-02-03 22:33:00,96058.01,2025-02-03 23:18:00,97111.02,TP,0.010962230010802945
2025-02-04 03:55:00,101795.99,2025-02-04 04:08:00,101082.01,SL,-0.007013832273746839
2025-02-07 22:07:00,99338.62,2025-02-07 23:12:00,98579.6,SL,-0.007640734288436759
2025-02-13 00:57:00,97064.11,2025-02-13 03:12:00,96364.01,SL,-0.007212758660229881
2025-02-25 20:23:00,89512.03,2025-02-25 21:37:00,88791.9,SL,-0.008045063886943517
2025-02-26 04:22:00,88498.68,2025-02-26 06:07:00,89422.88,TP,0.010443093614503761
2025-02-26 22:48:00,87253.46,2025-02-26 23:10:00,88192.88,TP,0.010766564443404287
2025-02-27 04:41:00,84089.85,2025-02-27 05:24:00,84942.09,TP,0.010134873590569976
2025-02-28 11:05:00,81509.98,2025-02-28 11:21:00,80874.91,SL,-0.007791315860953376
2025-02-28 17:26:00,79980.01,2025-02-28 19:41:00,80781.92,TP,0.010026380341787948
2025-02-28 23:07:00,82817.24,2025-02-28 23:22:00,83757.75,TP,0.011356451869200116
2025-03-02 23:28:00,87141.87,2025-03-02 23:29:00,86431.07,SL,-0.008156813710791246
2025-03-03 23:23:00,91178.0,2025-03-03 23:33:00,90454.61,SL,-0.00793382175524797
2025-03-04 06:54:00,87015.61,2025-03-04 07:00:00,86253.2,SL,-0.008761761251803021
2025-03-04 22:36:00,84452.84,2025-03-04 22:42:00,83698.42,SL,-0.008933032921095352
2025-03-05 03:36:00,87933.95,2025-03-05 04:52:00,87315.84,SL,-0.007029253206526041
2025-03-05 18:34:00,90327.01,2025-03-05 18:52:00,89640.61,SL,-0.007599055919154129
2025-03-06 01:18:00,89524.25,2025-03-06 01:33:00,90461.12,TP,0.010464985744086048
2025-03-06 09:49:00,91847.37,2025-03-06 09:55:00,91125.37,SL,-0.007860867436922799
2025-03-06 23:17:00,91127.39,2025-03-07 00:22:00,90290.25,SL,-0.009186480596009601
2025-03-07 09:18:00,87154.41,2025-03-07 09:41:00,88328.11,TP,0.013466903166460504
2025-03-07 21:37:00,90200.0,2025-03-07 21:56:00,89451.82,SL,-0.00829467849223939
2025-03-10 09:03:00,81776.0,2025-03-10 09:15:00,81030.59,SL,-0.00911526609274119
2025-03-10 17:17:00,82935.48,2025-03-10 17:54:00,82352.01,SL,-0.007035227866288363
2025-03-10 23:37:00,81066.62,2025-03-10 23:42:00,80455.89,SL,-0.00753368032366461
2025-03-11 09:31:00,78317.16,2025-03-11 09:59:00,79130.66,TP,0.010387251018806096
2025-03-11 23:07:00,80777.83,2025-03-12 00:32:00,81621.85,TP,0.010448658994677179
2025-03-14 23:08:00,84391.27,2025-03-14 23:41:00,85253.59,TP,0.010218118532876592
2025-03-20 02:53:00,85449.16,2025-03-20 05:53:00,85545.16,TIME,0.001123475058151537
2025-03-31 22:15:00,83550.0,2025-03-31 22:23:00,82939.38,SL,-0.007308438061041237
2025-04-01 22:54:00,84306.0,2025-04-01 23:38:00,85193.99,TP,0.010532939529808142
2025-04-02 23:40:00,87312.21,2025-04-02 23:53:00,86684.51,SL,-0.007189143419918149
2025-04-04 23:13:00,83542.0,2025-04-04 23:35:00,82929.97,SL,-0.007326015656795371
2025-04-07 09:21:00,79324.34,2025-04-07 09:38:00,78764.71,SL,-0.007054959423551335
2025-04-07 16:24:00,76465.01,2025-04-07 17:18:00,75861.17,SL,-0.007896945282554682
2025-04-07 21:51:00,77490.2,2025-04-07 21:58:00,78360.0,TP,0.011224645180939047
2025-04-08 09:38:00,80449.46,2025-04-08 11:17:00,79857.59,SL,-0.007357041302701222
2025-04-09 10:00:00,76365.29,2025-04-09 10:41:00,75792.01,SL,-0.007507075531304849
2025-04-10 01:20:00,79176.79,2025-04-10 01:22:00,80039.27,TP,0.01089309127081321
2025-04-21 08:33:00,86728.72,2025-04-21 11:33:00,87304.35,TIME,0.006637132428565816
2025-04-23 05:49:00,93417.73,2025-04-23 05:51:00,92684.64,SL,-0.007847439666966823
2025-05-08 23:42:00,101447.59,2025-05-09 00:02:00,100707.97,SL,-0.0072906611187115965
2025-05-09 05:21:00,103584.0,2025-05-09 05:50:00,102840.61,SL,-0.007176687519307995
2025-05-21 23:05:00,109295.8,2025-05-21 23:35:00,108427.96,SL,-0.007940286817974675
2025-06-22 08:34:00,103108.8,2025-06-22 09:34:00,102264.04,SL,-0.008192899151187961
2025-06-24 01:26:00,101786.98,2025-06-24 02:06:00,102809.84,TP,0.01004902591667422
2025-06-24 06:26:00,105999.99,2025-06-24 06:41:00,105208.88,SL,-0.007463302590877608
2025-07-10 03:52:00,111776.99,2025-07-10 04:25:00,110978.54,SL,-0.007143241198389862
2025-07-11 05:19:00,116195.25,2025-07-11 08:19:00,115489.57,TIME,-0.006073225884879055
2025-08-11 10:23:00,121561.25,2025-08-11 13:23:00,121958.39,TIME,0.0032669950333679477
2025-08-22 22:03:00,114297.18,2025-08-22 22:15:00,115522.3,TP,0.010718724643950184
2025-09-02 21:45:00,110830.01,2025-09-03 00:45:00,110571.99,TIME,-0.0023280698070855498
2025-10-04 00:11:00,123172.88,2025-10-04 01:00:00,121870.41,SL,-0.010574324477920798
2025-10-11 05:21:00,106766.11,2025-10-11 05:24:00,108219.08,TP,0.013608906421710046
2025-10-12 23:19:00,113666.01,2025-10-12 23:32:00,112692.83,SL,-0.008561750342076695
2025-10-17 19:14:00,105816.0,2025-10-17 21:13:00,104961.21,SL,-0.008078078929462402
2025-10-21 22:21:00,110529.01,2025-10-21 22:29:00,109679.8,SL,-0.007683141285713062
2025-10-27 06:03:00,115453.51,2025-10-27 06:05:00,114630.21,SL,-0.007131008836370487
2025-11-05 06:08:00,100941.17,2025-11-05 09:04:00,100226.9,SL,-0.007076101852197711
2025-11-10 08:53:00,106501.22,2025-11-10 09:58:00,105752.52,SL,-0.0070299664172860845
2025-11-14 22:45:00,96597.59,2025-11-14 23:13:00,95919.85,SL,-0.007016117068759073
2025-11-17 22:36:00,95742.04,2025-11-17 22:53:00,94800.0,SL,-0.009839355835743564
2025-11-18 23:27:00,92949.99,2025-11-19 02:27:00,93349.13,TIME,0.004294137094581714
2025-11-21 20:37:00,82517.04,2025-11-21 20:50:00,83506.18,TP,0.01198709987658306
2025-11-22 01:37:00,85257.46,2025-11-22 02:02:00,84609.77,SL,-0.007596871874906926
2025-11-27 01:42:00,89415.45,2025-11-27 02:16:00,90318.73,TP,0.010102057306651131
2025-12-02 23:00:00,89400.39,2025-12-02 23:12:00,90606.27,TP,0.013488531761438678
2025-12-08 01:35:00,91271.28,2025-12-08 04:35:00,91349.47,TIME,0.0008566769305744625
2025-12-09 23:44:00,92050.91,2025-12-10 00:01:00,93044.94,TP,0.010798698242092324
2025-12-11 04:14:00,94252.99,2025-12-11 04:22:00,93186.03,SL,-0.011320171381300544
2025-12-12 05:16:00,92940.2,2025-12-12 06:30:00,92276.95,SL,-0.007136309153627817
2025-12-17 22:54:00,89282.71,2025-12-17 23:06:00,90297.32,TP,0.011364014376355742
2025-12-18 21:47:00,89017.44,2025-12-18 22:12:00,88253.84,SL,-0.008578094359936724
2025-12-19 11:29:00,87146.04,2025-12-19 14:29:00,87017.18,TIME,-0.001478667303758158
2025-12-19 23:17:00,89381.77,2025-12-19 23:19:00,88638.69,SL,-0.008313552081145873
2025-12-26 10:25:00,89121.35,2025-12-26 13:25:00,88916.03,TIME,-0.002303825065486631
2026-01-09 23:29:00,91680.59,2026-01-09 23:55:00,90856.01,SL,-0.008994052067073323
